"","Field","row","rep","range","Experiment","Density","G","plot","plant","G.1","row.1","X","X.1","X.2","X.3","different.plane","Value","Angle_transformed","Orien","Deviation_from_90","Abs_deviation","d_acre","Time"
"871","Agronomy","M7014",2,6,"Mutants","30 inches","W22",1,1,"W22","M7014",7,0,0,0,0,89.453,89.453,90,-0.547,0.547,8000,"60DAP"
"872","Agronomy","M7014",2,6,"Mutants","30 inches","W22",1,2,"W22","M7014",8,0,0,0,1,166.112,166.112,180,76.112,76.112,8000,"60DAP"
"873","Agronomy","M7014",2,6,"Mutants","30 inches","W22",1,1,"W22","M7014",9,0,0,0,0,61.686,61.686,90,-28.314,28.314,8000,"60DAP"
"874","Agronomy","M7014",2,6,"Mutants","30 inches","W22",1,2,"W22","M7014",10,0,0,0,0,24.717,335.283,360,65.283,65.283,8000,"60DAP"
"875","Agronomy","M7014",2,6,"Mutants","30 inches","W22",1,1,"W22","M7014",11,0,0,0,0,152.866,152.866,180,62.866,62.866,8000,"60DAP"
"876","Agronomy","M7014",2,6,"Mutants","30 inches","W22",1,2,"W22","M7014",12,0,0,0,0,10.225,349.775,360,79.775,79.775,8000,"60DAP"
"877","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,1,"W22","M7014",13,0,0,0,0,133.651,133.651,150,43.651,43.651,8000,"60DAP"
"878","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,2,"W22","M7014",14,0,0,0,0,155.47,204.53,210,-65.47,65.47,8000,"60DAP"
"879","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,1,"W22","M7014",15,0,0,0,0,156.543,156.543,180,66.543,66.543,8000,"60DAP"
"880","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,2,"W22","M7014",16,0,0,0,0,41.206,318.794,330,48.794,48.794,8000,"60DAP"
"881","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,1,"W22","M7014",17,0,0,0,0,133.391,133.391,150,43.391,43.391,8000,"60DAP"
"882","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,2,"W22","M7014",18,0,0,0,0,108.323,251.677,270,-18.323,18.323,8000,"60DAP"
"883","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,1,"W22","M7014",19,0,0,0,0,100.974,100.974,120,10.974,10.974,8000,"60DAP"
"884","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,2,"W22","M7014",20,0,0,0,0,125.402,234.598,240,-35.402,35.402,8000,"60DAP"
"885","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,1,"W22","M7014",21,0,0,0,0,100.496,100.496,120,10.496,10.496,8000,"60DAP"
"886","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,2,"W22","M7014",22,0,0,0,0,101.112,258.888,270,-11.112,11.112,8000,"60DAP"
"887","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,1,"W22","M7014",23,0,0,0,0,58.446,58.446,60,-31.554,31.554,8000,"60DAP"
"888","Agronomy","M7014",2,6,"Mutants","30 inches","W22",2,2,"W22","M7014",24,0,0,0,0,137.038,222.962,240,-47.038,47.038,8000,"60DAP"
